content,sentimen
Update ke dana premium gk bisa2 lebih dari 5 hari gk ada respon sama sekali,1
Mau aktifkam spyalater,1
Dana kenapah gak bisa masuk ke aplikasinya buka aplikasi kok keluar2 mulu,1
lumayan,2
Padahal no hp sama pasword odah sama tpi gk bisa login,1
"Saldo kepotong tiba2 aplikasi gak bertanggung jawab saya sudah melaporkan di pihak dana tapi,dananya gak mau betwnggu jawab",0
mudah diginakan,2
"hai kak, jadi aku kan mau bayar spotify, nah transaksi gagal terus padahal saldonya mencukupi dan jaringan aku bagus. trus kata asisten dana coba waktu berkala, nah udah aku coba tapi tetep aja transaksi gagal, dari hari sabtu sampe hari rabu masih ga bisa. mohon untuk pihak dana segera membereskan masalah ini",0
sangat membantu,2
saat memasukan code otp padahal code sudah benar yang dikirim di whatsapp tapi pas saya masukan code itu salah gimana sih,0
Thanks dana,2
Kenapa daftar DANA selalu gagal dgn alasan keamanan. Ga ngerti LG dah udh dimasukin OTP bgitu trus,0
"Untuk respon lama..mau lapor dana habis di isi langsung potongan gak jelas.lapor di suruh nunggu lama..sabar sabar terus responnya.samper Berjam""",0
Saya kecewa degan aplikasi ini mau upgret susah sken ktp agak buram malah engak bisa upgret lagi..katanya hubugi diana malah engak ngebantu..tolong betulin lg la min..masa uda sken sekali engak bisa upgret lagi Untuk bikin dana premium,0
Aplikasi sangat buruk. Saya mau transfer uang ke rekening trus disuruh upgrade ke premiun lalu saya coba upgrade. Semuanya persyaratan sudah saya apload tapi ujung2nya gagal dg alasan terlalu sering melakukan percobaan.,0
sangat membantu,2
luar biasa mantap.kerjasama yang bagus,2
super baik,2
sangat membantu.semoga ttp aman,2
mudah dan cepat,2
"Aih lemot bener ya, padahal sinyal bagus.... Tapi kenapa selalu gak bisa kebuka dasar",0
sangat membantu,2
Apk gak jelas daftar nya terlalu ribet gak jadi2 suruh nunggu 1 hari baru bisa daftar lagi gua langsung apus nih apk,0
Tutup aplikasi hhh bercanda bercanda,0
"Aplikasi ini merugikan saya, banyk transaksi tidak di kenal , saldo berkurang, melakukan laporan tidak ada sulusinya di suru menunggu terus, tolong pertanggungjawaban aplikasi ini tidak aman , kembalikan saldo saya",0
Mahasih udah memberikan kenyamanan,2
"Aplikasi yang sangat memudahkan dalam pembayaran, murah dan cepat dalam pelayanan",2
aman,2
mantap,2
"Aplikasi dompet digital macam apa ini, sampah kali aplikasinya. Aplikasi menyesatkan.",0
sangat memuaskan,2
Sudah 3 hari dana gabisa di digunakan .dana bisnis gabisa dibuka..tolong atuhh gimana ini,0
mantap,2
"baguss, sangat membantu",2
Dana Wales sangat memuaskan,2
sangat memuaskan,2
murah dan cepat,2
sangat bagus,2
mantap,2
sangat bagus,2
Knapa dana tidak bisa di buka kecewa banget nih,0
transfer gratis bank lain,1
Aplikasi guoblok,0
bagus,2
sangat memudahkan,2
Kenapa saldo dana gw bisa hilang sendiri woyy,0
Mantap men,2
Kenapa tidak dapat terdownloat aplikasi dana nya,0
Saya suka,2
Kapok pake dana uang saldo hilang tiba tiba ga ada respon sama sekali tidak bertanggung jawab! Mending hapus aplikasi DANA ada nya pusat bantuan DIANA pun ga berguna!,0
"Kurang aman, smart key ga bisa berfungsi",1
Sayang gak ada payletaer nya,0
sangat membantu..,2
Top,2
lemot,0
bagus,2
Aplikasinya sangat ribet udah vetifikasi wajah KTP dilakukan udah berulang kali masih aja gagal,0
Aplikasi nya sih oke tapi kendalanya cuma di waktu top up saldo dana via m Bangking agak lambat kadang sampe 1 hari baru masuk tolong di perbaiki masalah ini min,0
DANA Dbacf,1
ok,0
tolong kembali kan saldo saya apliksi ajing... Aplikasi kurang jelas hilang saldo saya 845000. Kemna saya mntak ganti nya. Masalahnya belom selesai sampai sekarng.,0
Mau daftar ko gabisa,0
Makin lemot saja dan sering keluar sendiri,0
Kasih bintang 1 soalnya gabiaa login,2
mantap,2
tambah BODOH. padahal saya daftar dengan nomer baru ke DANA belum juga login dan belum pasang pin pas login di minta masukan pin. saya penasaran dong saya cek nomer dana tersebut pake dana aku satunya (aku punya dana no utama) tapi tidak ada pas aku cek. tidak terdaftar di dana tapi pas aku mau logindi minta masukan pin dan verivikasi mulu. tambah BODOH aja.,0
Ok,2
Lambat pelayanan dan saya sudah melakukan transfer ke nomor briva namun belum ada bukti saldo saya di tambah kan saya beri bintang satu saja,0
Bagus,2
apk M banking yang bagus,2
Aplikasi nya bagus sekali,2
👍,2
"Tidak ada cs yaa tersedia untuk memberikan penyelesaian masalah saya di dana,karena pada diana saya tidak mendapat kan solusi jug",0
Bagus,2
ok,0
Saya tdk dpt mendowonlad dana mengapa,1
Tolong lah perbaiki bug nya tu. Ini mau tf kalau mau ngtik nmor orngnya selalu nggk bisa msuk. Seklinya msuk eh malah bnyak,0
puas sekali,2
Sangat puas,2
jos,0
mantap,2
Kenapa aplikasi DANA saya susah di verifikasi untuk penyimpanan uang dari Snack video,0
Suguh praktis buat Segala Hal👍🏻👍🏻🙏,0
Mantap,2
mantap dana GK ribet,0
"Asuuuu kok ,cuma mau lihat riwayat saja error terus,SU ASUUU",0
Kenapa si min sistem sibuk terus..??? Mana urgent lg,0
Bagus sekali,2
Masa susah banget masuk sih,0
Selalu gagal upgrade ke dana premium,1
bagus,2
Alhamdulillah transaksi uang lancar,2
ok,0
krm email helpdana ga di balas balas mau ganti nomor susah bgt padahal data yang di kirim udah lengkap TOLONG DONG SEGERA DI RESPON SAYA BUTUH SALDO DI DANA SAYA TERIMAKASIH,1
Good,2
Baik,2
mantap,2
sangat membantu,2
mantap,2
mantap,2
ansar,2
"Mdh""an JD berkah🤲🏽",1
Ok,2
mantab.!!! sangat berguna 👍,2
Tolong di cek/kembalikan saldo dana milik saya tiba-tiba terpotong . SALDO DANA HILANG MISTERIUS.,1
Kecewa padahal udah bertahun tahun pakai malah sekarang saldo tiba tiba hilang ngak ada respon sama sekali mana yang bilang kalo jaminan uang hilang bakal diganti semua hanya iklan semata,0
Kecewa gw sama dana uang gw yang kena tipu ga bisa ilang lagi,0
"tidak bisa login , app payah👎",0
sip mantap,2
Bos gimana sy sudah berapa hari ini gak bisa pakai dana.uang ny jg gak bisa d kirim,1
mempermudah segala pembayaran,2
Aduh gagal terus no HP nya sudah benar pasword juga sudah benar kok gagal terus masuk nya,0
mempermudah,2
"Bintang 1 pas buat delover nya sangat kecewa mau ngembaliin akun aja ribet banget minta ini itu yang KTP gak sesuai sama foto selfi lah,emang KTP dulu sama wajah sekarang harus sama gitu Aneh",0
puas dengan layanan Dana,2
"sangat respect,dan membantu banget buat transaksi online",2
Alhamdulillah masih lancar,2
sangat muda,2
upgrade akun saya kepremium,1
Kren,2
"Saya tidak bisa premium padahal semua nya lengkap,dana a*j*n*g",1
sangat membantu,2
sangat membantu dan cepat,2
👍 tapi klo bisa sediakan koneksi ke aplikasi SIGNAL utk perpanjang STNK tahunan. Terima kasih,2
Jangan pakai akun dana..tanpa sebab akun diproteksi..dasar penipu,0
top,2
Top,2
makasih,2
udah ga aman.,0
ok,0
aneh udh di masukin kode nya malah ga bisa,0
"Egk berguna sekali dana ini saya sudah download lebih awal ada uang di dlam dana egk bisa transansi ke orang,setelah saya copot masukin kembali egk bisa lagi uang saya di dlam dana entah gimana dana ini memag egk berbantu sama sekali bgi yang ingin download dana liat ulasan orang dlu biar jdi ke dpan lgi jngan aada lgi yag download dana seperti ini",0
bagus,2
"josss praktis cepat gak ribet, aman terjamin",2
Lancar tiap tranzaksi,2
"simpel praktis dan cepat mantap trus begini ya,",2
Kurang puas dengan Layanan ini... Tiap kali top up dr aplikasi lain...Tak bisa kembali lagi ke Apk sebelum nya..Klo masih tak bisa./di perbaiki. Uninstall..masih banyak Apk lain yg lebih canggih,2
"Susah daftar nya,ngga jadi2",0
Bintang 5 berbicara,1
Kak tolong di perbaiki ya,1
bagus,2
"Minta kode OTP Aja lama, Jadi males daftar Karyawan makan gaji buta Apk sampah",0
bagus,2
"Min knapa saya susah banget buat daftar dana, katanya""Akunmu belum bisa di gunakan""padahal udah instal berkali kali tetap ga bisa masuk",0
mantab miiinn,2
mudah dan cepat,2
"Aplikasi merugikan konsumen, beberapa kali minta otp di input tak kunjung jua bisa log in, keterangan karena alasan keamanan.sangat mengecewakanlah pokonya mah",0
Jujur! Saya sudah setia sama aplikasi dana tetapi di akun dana premium saya tidak bisa percobaan verifikasi itu kendala yang membuat saya males sehingga teman saya tidak dapat masuk ke akun dana saya karena dia ingin mengirim uang ke akun saya padahal akun saya sudah premium,0
Jujur sih kecewa banget. Udah berapa kali instal tp gk bisa masuk ke akun dana terus. Makin ribet.,0
Muantap,2
sangat membantu dan amanah,2
cukup baik,2
😅,1
sangat puas,2
"Masuk ke DANA gak bisa padahal pasword ama nomer HP udah benar alasan jaringan terkendala,di perbaharui jg gak bisa😩",0
"Bagus banyak membantu,tp tolong di perbaiki sistem agak lelet.",0
"ok.,bagus.",2
Bagus sekari,2
Minta apli kasi dana,1
"ternyata menyimpan di dana tidak aman yah, uang saya hilng 450.000 di bilang uang tidak bisa d kembalikan karena sudah sesuai prosedur anj banget. ini uang bukan daun yng hilang..",0
mantappppp,2
Sudah log-in berkali-kali dengan no dan password yang benar tetapi malah di suruh verifikasi mulu ntah apa yang harus di verifikasi lagi Padahal tdi di suruh hapus cache sudah saya hapus malah tidak bisa log in,0
mntap,2
"Tolong setujui upgrade dana premium saya, saya sudah mengisi semua pertanyaan yang di berikan ,sudah 3hari belum di proses sama sekali.",1
Kenapa DANA saya di proteksi padahal saya jarang menggunakan aplikasi ini,0
"Saat ada penipuan kalian menghilang 👍 thanks dana, Saya sudah lapor kok boss.. Malah dibilang tidak valid,",0
"Knapa sih proses ke dana premium lama sekalii, udh bbrpa hari ga di proses parah banget. Pdhal saya mau narik uang yang udh masuk ke saldo dana . Tp blm bisa",0
Aku suka gm nya,2
👌,2
mantap,2
Tidak bisa diinstal,0
mantaaap,2
"Kenapa akun dana saya masih tidak bisa dibuka masih ada alasan ""akunmu belum siap dipakai"" apa penyebabnya segera cepat atasi",0
sanggar baik,2
mantapp memuaskan mempermudah dalam hal mengenai biaya pulsa dan data,2
apl sangat membantu,2
aplikasi ini sangat membantu,2
mantab,2
Aman,2
baguuss sangat cepatttt,2
bagus pertahankan,2
Cara buat akun dana baru giimn min tadi saya gagal trus masukan no kartu,1
"sangat membantu untuk ,transaksi byr ,..",2
Ini kenapa saya tidak bisa transaksi beli pulsa tidak bisa bahkan di transfer dari dana saya yang lain saldonya belum masuk tolong di perhatikan biar pengguna aman dan nyaman,0
sangat bagus,2
Tidak bisa transaksi dari kemarin kenapa dana ? Kirm ke dana bisa sedangkan tf gk bisa,1
"Tidak bisa daftar,tidak ada respon",0
puas,2
apk babi,0
"Tidak bisa buat tf ke rekening lain, udah coba berkali kali susah bgt",0
"Ayolah aku cuman mau login,tapi kenapa di perlama,sudah kumasukkan kode verifikasi nya tapi ditolak karena alasan kelamaan,INI BARU 15 DETIK DI ANGGAP LAMA?,yang bener aja saya jg sabar nunggu notifikasi code verifikasi nya,ini kenapa malah melawak coba lagi besok,saya jadi geram,login aja sesusah ini,apalagi transaksi",0
Cukup membantu,2
SE enak nya saja membeku kan dana orang dengan alasan sedang di proteksi di hubungi melalui email tidak di tangapai di suruh menghubungi via Instagram malah di suruh top up ulang masalah nya akun saya langsung Ter proteksi setelah saya top up malah di suruh top up lagi ada yang ngk beres ini.hati hati aplikasi ini tidak beres di akun pertama saya uang saya mereka habiskan bayar bayar yang tidak jelas di yang tidak pernah saya lakukan.lebih parah lagi saldo kepotong sendiri dengan alasan pembyran,0
Bagus banget aplikasix,2
Terpercaya dan amanah,2
"Tiap update saya selalu update tapi kenapa gitu?sudah 2 kali saya melakukan membeli token listrik dan token itu tidak bisa di masukkan,, terus kek dari pihak dana nya gada bantuan buat paling cuma iyaa² gitu aja",0
bagus cuma agak ngelag kadang kadang,0
keten,2
Barcode eror mulu ajg,0
Uang pembatalan Belanja Tidak Kembali sudah 4 Hari....,1
Tolong yang ketat dong jangan sampe bisa di bobol penipu dana sekarang lg banyak yang nge bobol kalo bisa jangan di adakan kode pin ajh kalo bisa kodr pin nyah hilangin pake transaksi nyah pake muka ajh pake selpi ajh biar ga ada yang nipu.. tolong di proses permintaan sayah,0
"Kasih bintang 2 dulu,soal nya akhir-akhir ini sangat buruk,hrus verifikasi dulu,dan in sangat menyusahkan sekali,mw tf k akun dana sndri aj pun susah",0
mudah cepat dan aman,2
🆗🆗🆗👍,1
Sangat vaik,0
baguss,2
Aplikasi gila gw kirim pake qris gk d proses² parah udah 2hari stts berhasil masuk ke penerima nya aja nggak..jngn ada yng pake dana lgii dana udah gk bner anj,0
gak ribet,2
sangat bagus meskipun ada gangguan dikit ya wajar lah ya...😁,2
Tidak bisa di update,0
Baik,2
Makin aneh makin gereget sama aplikasi nya. Aneh syistem sedang sibuk mulu,0
Ok,2
Semenjak update jadi susah buat kirim ke bank .,0
Sangat oke bisa teransaksi,2
Knp dana saya gak bisa update premium... Padahal saya gak ada buat apa apa... Tolong lah perbaiki lagi dana saya,0
Sangat memuaskan dan terjamin dlm penggunaan nya,2
Terima kasih. bozzz qu.... DANA,2
terbaik,2
Jangan pernah download Dana aplikasi pencuri saldo gajelas,0
Sangat memudah kan,2
"saat kena tipu, dana tdk bisa membantu.. hati"" aja sama akun ini , bagi yg awam harap jgn pakai, yg udh faham aja msh bisa ketipu.. krn disini tdk ada kebijakan saat dana kita ada yg bobol atas penipuan, sudah laporan pun tdk di respin. tdk ada tanggapan dari pihak DANA , kecewa",0
Hapus saja live chatnya. Percuma ada live chat kalo ada masalah selalu di arahkan ke email. Gak ada jawaban lain apa? Gak usah gonta ganti orang percuma. Mesin aja kalo tiap jawaban dari agen live chat semua jawaban begitu. Buang buang uang buat gaji agen live chat,0
good,0
Tidak bisa update😌,0
knp susah jd dana premium,0
baik,2
sangat memuaskn,0
sangat sangat bagus sekali dan mudah di megerti,2
"aplikasi paling mudah di akses buat beli pulsa,bayar listrik dll, tingkat kan slalu buat fitur baru",1
bagus banget,2
"Jangan pernah pake dana, entar duit ke ambil mending pake aplikasi lain klau hilang bisa diganti, padahal gak transaksi dimana pun duit bisa ambil katanya dilindungi apa 😏",0
KACAUUUUUU dana makin kesini performa nya semakin TURUNNNN tidak bisa login berkali kali,1
Ko gk bisa di buka ya,1
"Duit 350rb lenyap tiba tiba , aplikasi gak aman ini",1
Ih kok g bisa masuk min,0
Apk nya sangat baguss,2
sangat puas,2
👍,2
terkadang info y kurang pas akurat y terlambat,0
akun ini sangat bermanfaat untuk semua kegiatan saya. Dan akun ini resmi diawasi OJK. Sangat memuaskan,2
sangat bagus,2
sangat bagus aplikasinya memudahkan semua orang bertransaksi digital..makasih dana,2
"Parah dana, top up sudah 2 hari tidak masuk, respon lama",1
mantap,2
"Masa daftar kode nya udah kita masukan , tp alasan keamanan terus.. ulang selama 1 tahun pun GK jadi jadi .. ribet amat",0
Masa uang baru masuk ko bisa hilang Tolong dong ini kok bisa Walapun ga besar nominal nya tapi tanggung jawab dong biar ga kaya gini,0
dana paylater q blom muncul,1
Berkali kali login gak bisa masuk juga sudah komplen tapi sampe sekarang gak ada respon lagi,0
Baru dapet transferan 360k dari pt tiba tiba ada transaksi fiktif dan ludess semua saldo Dana aku. Aku kecewa banget 😭,0
bagus,2
sangat bagus dan membantu,2
kenapa kirim uang ke bank kena biaya 2500 terlalu mahal,0
"Tolong kepada Pihak Dana tolong d peroses secpat ia Dana sayh blom masuk ke saldo Dana 500 ribu klo lambat2 peroses Alan syh sense kesemuwa social media ,,biyar semuwa orng tw,,, klo Dana mulay g bner",1
Suka le mot,2
terbaik,2
Dana 2024 masih dengan ganguan apa tidak ada perbaikan,0
Cara menarik uang nya kok gk bisa,1
good,0
Aplikasi jelek,0
"saldo saya hilang 34 ribu awalnya hanya verifikasi kembali, saat saya masuk uang nya ketarik, dan teman saya juga seperti itu kehilangan 60 rb tertarik dana. bagaimana ini!!!!!!???? dan saat saya liat riwayat transaksi saya tf orang tidak di kenal dan saya tidak sma sekali melakukan itu, jadi tertransfer sendiri.",0
Good...,2
Aplikasi e-wallet paling nyaman 👍👍,2
Beberapa kali login ternyata sangat sulit padahal sudah benar kode verifukasi sqma nomor ponselnya,1
mantap,2
sangat membantu saya terimakasih Dana,2
Alhamdulillah manfaat,2
Mudah Aman dan Nyaman.,2
Bagus,2
Tidak mnrima verifikasi Uda isi saldo 50 di buka belum masuk.... Gmna ini aplikasi GK ada tanggung jawabnya di hapus di download lagi Mala sedang kendala. Tolong kembalikan uang saya ke BCA saya lagi.,0
Taiii aplikasi bgsssttt setiap kali gw beli pulsa di sini selalu sial selalu pulsanya terkirim ke nomor yang lainn apliksi babbiiiii,0
saya suka PK dana,2
mantap,2
sangat membantu,2
ok,0
Malah gabisa login setelah upgrade waduh makin buruk nih apk,0
Belum pernah kami coba. Terima kasih,2
Bagus,2
Sangat membantu,2
Apa sii sekarang dana gk bisa dibuka padahal uang gw ada disana 100 RB gimana cara ngambilnya,0
kren,2
👍👍👍👍,1
Dana ga bisa masuk malah keluar lagi,0
"Makin lemot dan sllu minta instal ulang, sedangkan memang bner2 dibutuhkan cepat,,.. Tlong diperbaiki lgi..",0
good,0
bagus sekali. membantu,2
ok,0
Entah lh apa masalah app Dana ni sampai²tk bisa diperbarui terus dan terus..sdh kirim email agar dpt penyelesaian masalah tpi mlahan dibilang jgn kirim komplen yg sama lg sbb sdh terlalu byk yg kirim email dgn tujuan komplen yg sma.. trs kami hrs gimana ...tlong diperhatikan lg semua ketidak nyamanan pelanggan 🙏🏻,0
Saldo kepotong tanpa sebab nyoba chat cs itu ada berlangganan tapi di cek ga ada transaksi di google sama sekali,0
Sangat membantu dalam bertransaksi,2
Jelek apk dana Cok makin lelet aja mau transaksi aja lama masuknya Apa lagi kalo beli pulsa harus nunggu 1 jam baru masuk,0
oke,2
bagus beuuutt,2
aplikasi ini sangat membantu sekali buat saya kalau tranfer tidak kena biaya admin kalau diatas 50rb tapi kalau bisa biarpun gak 50rb bisa tranfer tanpa kenak admin,2
sangat membantu,2
Memulihkan akun dana yang di proteksi bagaimana,1
bagus,2
bagus,2
bagus...,2
Sangat baik tapi brlakangan knp eror,2
"Kenapa ga bisa mengubah nama dana bisnis, menyusahkan sekali... Mengajukan penghapusan akun dana bisnis juga lama banget...",0
Super keren,2
"Tolong perbaiki lagi sistemnya, Diana ditelfon malah nomer yg anda tuju, saya haru nelfn kemna ini ya",0
tambah mudah,2
susah amat buat upgrade dana premium apk jelek,0
terbantu dengan adanya DANA..terimakasih DANA,2
Mau daftar tpi kode otp ny gak di krm jg.. Gmna ne... Tlong di perbaiki,1
Aplikasi gak bagus sering ngeleg dan tiba tiba keluar jadi uang ku hilang sudah berapa kali uang saya hilang tiba tiba dan terakhir kemarin 300RB tudak ada yang bisa membantu lebih baik GK usah Download dana,0
Kok Ga bisa daftar ya malah ada tulisan kamu tidak bisa login tolong donk gimana ini,0
keren,2
Saya mau daftar dana premium kenapa selalu gagal ya padahal KTP saya belum pernah didaftarin buat premium mohon tolong dikoreksi lagi nih biar semakin baik lagi,0
ok,0
Dana berguna seru,2
cukup baik,2
Belum bisa memunculkan danapaylater,0
tolong min di percepat Proses premium akun dana saya terimakasih,1
wah membantu banget makasih dana 😍😍😍,2
Bagus,2
sangat bagus 👍,2
bagus sekali,2
Kenapa nga ada scan wajah sekarang pas mau log in Ini tuh keluhan Kaka saya mau masuk dana tapi scan wajah nga muncul muncul no saya hilangg,0
"Knp jadi gini apk nya,",1
aplikasi mantap,2
puas,2
top,2
Mempermudah banget,2
bagus,2
Ok lah,2
Bagus,2
Pemborong kerja,2
Sungguh membantu,2
Katanya saldo bisa kembali klo hilang mana faktanya uang sya hilang kena tipu gk bisa di kembalikan ...,1
Ok,2
sangat bagus,2
ga bisa buka,1
"Kesel banget isshh udah ga bisa narik daget, udh lapor ke admin tapi jawaban nya ga jelas",0
Amplikasi ini sangat membantu,2
"Akun dana bisa di bajak orang, dan pihak dana melepas tanggung jawab, jdi untuk apa menyimpan uang disni klau tidak ada penanggungjawab sama pihak dan, blacklist aja di playatore",0
bagus,2
ok,0
"Nomor sudah hilang sama hpnya,gmna mau dapet otpnya",1
Kita jaga persatuan kita sebagai anak bangsa🌞🌞,1
Terbaik,2
Mantap,2
ini ketika saya melakukan pembayaran disuruh konfirmasi melalui sms ????? no dana sama wa/sms harus sama kah? kebijakan bodoh apa itu.? bukan nya dialihkan ke aplikasi dana malah disuru feriv pake sms/wa????,0
Penilaian baguss,2
"assalamu'alaikum wr.wb Saya kecewa sama aplikasi dana saya ingin pindah akun tidak bisa saya udah chat customer service lama kali hasil jawabnya ,dan saya memiliki kendala akun premium gagal lama juga respon customer service saya udah menyerahkan data untuk bisa verifikasi saya udah nunggu 3 hari masih belum di respon untuk akun premium gagal saya😭😡🙏",0
mantap,2
"Dana kenapa si, di update gak bisa, aku log in gak bisa... Mau ambil uang ni oy... Haduhhhh, banyak gaya",0
"Kena tipu 150.000 , uangnya g dibalikin padahal beneran ditipu",0
Keluar masuk,0
sangat puas aman,2
keren,2
Mantap,2
Mantap bang tingkatkan.aktifkan paylater dong🙏🙏,2
mantap,2
ok,0
Sangat membantu dalam bertransaksi,2
Min.. begimna ceritanya .. transaksi transfer dana saya ke melalui qris gagal diterima tpi notifikasi pengiriman sukses... Sementara info dr penerima emang gagal.. Tolong di perbaiki utk hal yg emang jarang terjadi seperti ini..,0
Kecewa sama dana main transfer sendiri padahal gak ada langganan ke google,0
"Tingkatkan keamanannya, karena dana saya sering kebobolan terus",2
Nabung emas..??wkwkwk,1
bagus,2
mntap,2
Ntpupdate,2
tyaa,2
Baik,2
sangat membantu,2
"Kurang aman, akun bisa dihack orang dan uang hilang begitu saja",0
"Proses pemindahan ke premium dari nomor lama ke nomor baru begitu mudah dan tidak ribet,,good apps.",2
lumayan,2
semua transaksi jadi gampang dengan adanya DANA. Semoga kedepan lebih baik,2
good joob,1
saya pengguna lama dana tapi paylater sya kok ga aktif,0
oke banget,2
Aneh kok tidak bisa login ke dana ya padahal nomer sudah benar,0
"Saya tidak dapat kode otp Mulu kenapa?, padahal saya sudah memakai wa dan SMS tetapi tidak ada yg memberi kode otp",0
Lumayan bagus,2
sangat baik,2
"Saya mau transfer, setiap transfer dikenakan biaya 2.500, padahal katanya gratis",1
sangat bagus,2
anjay,2
sukses terus,2
"Lumayan bagus sangat membantu ,tp sayang rada lemoy",2
aku suka,2
lebih cepat,2
membantu sekali,2
mantap,2
Top,2
lebih gampang,2
Puas,2
Lumayan membantu,2
sangatlah puas dan mantap,2
akun saya ter proteksi !!!!,2
keren,2
Bagus,2
duit gw ilang di aplikasi ini 2jt setengah sungguh tidak amanah ini aplikasih,0
"Kenapa setelah update,Gk bisa login.??? Padahal sebelum update kemarin aman2 aja",0
"Aku kecewa banget knpa juga uang aku kepotong 45rb,gatau kenapa tiba""ngirim ke si monthly apa tuh,nyesek bnget pdhal uang buat mkan sehari"":(",0
Ini kenapa verifikasi terus ya gua ga bisa log in padahal dah di uninstal,0
Bagus,2
"Dimohon kembalikan uang saya,, saldo saya hilang tiba tiba ada transaksi yang tidak saya kenal... Saya curiga ini kecurangan dari orang dalam,,, karena yang tau pin itu yang punya akun sama pihak dana... Terimakasih",0
sangat membantu,2
Bagus,2
"Saya baru sajah menggunakan aplikasi ini, untuk mengirimkan saldo melalui Qris akan tetapi sih penerima tidak menerima saldo dari saya. Akan tetapi saldo saya sudah berkurang.. Bagaimana tanggung jawab nya?",0
mmuaskan,2
keren,2
ok,0
Pelayanan buruk saldo hilang 350k tiba tiba padahal nggak ada pembayaran atau langganan apapun,0
Tolong dong perbaiki Apk Dana nya ko setiap melakukan pembayaran gagal trus,0
mantap,2
memuaskan,2
keren,2
baik,2
Baru pengguna baru kalau bagus aku ksh bintang 5,2
ok,0
Knpa sekarang g bisa di install,1
mantappppp,2
sangat bagus,2
Bagus,2
sangat mulia dan istimeqah,2
mantap,2
Aplikasi tolol,0
Depo buat slot malah duit hilang di dana emang ppek,0
🤝,2
sangat membantu saya. terimakasi,2
membantu dalam hal finansial,2
Good,2
GK bisa login,1
Mantap,2
sangat puas,2
Ok,2
"sudah banyak korban yg saldonya tidak masuk atau tidak bertambah padhal sudah terkirim di dana,,keamanan emng terjamin dari luar tpi dari pihak dana sendiri yg g beres",2
"terlalu banyak pemberitahuan,!",0
AKUN SY DITANGGUHKANN GABISAAA LOGIN SAMA SEKALIII DARI HARI SABTU KMREN TGL 20 januari kemarennnn...sy dah ngirim lewat email tp belom ada tanggapaaan!!!!SANGAT MENGECEKAAAN SEKALII ANDAAA !!!!!,0
Min kok tidak ada dana paylater,0
Makasih ya,2
"Udh top up tapi saldonya gk ada. Loading parah pedahal jaringan bagus, mending pake gopay",0
"Maaf,,tlong bantu saya bagaimana cara mengatasi akun dana saya sedang di proteksi tlong bntuan nya bagaimana cara mengembalikan nya",1
mantap,2
Bgus,2
kenapa saya gak bisa masuk ke akun dana padahal nomer sudah bener trus hp belum ganti..tapi kenapa muncul harus login di hp lama..kan dari awal hp nya juga masih yang ini,0
"Ada tulisan ""Koneksimu ke DANA lagi ada kendala nih"", kadang tulisan lainnya, yg menyalahkan koneksi data internet. Yg bener aja, padahal dipake game online berat, lancar2 aja. Streaming jg lancar. Apanya yg salah",0
luar biasa(cepat),2
Knapa tidak bisa mendaftar,0
mantep,2
"GANTI NOMOR DANA DOANG LEWAT GMAIL SAMPE SEMINGGU GA ADA RESPON ,MAKIN KESINI MAKIN AMPAS",1
Sejauh ini masih aman,2
hebat,2
aplikasi sunguh menjengkelkan,0
Harusnya di riwayat transaksi perlihatkan nomr tlpn dana nya jadi klo ada masalah sperti saya yg gagal transaksi. bisa langsung menghubungi nya langsung ke pihak yg bersangkutan,1
dompet ajaib😂,2
bagussss bingit,2
sonfar so.good,2
Baik,2
Bagus,2
sangat puas,2
Ini knpa uang saya tiba-tiba hilang saya cek riwayat kenapa ada pembayaran QRIS padahal saya tidak melakukan transaksi tersebut,1
Tnks aplikasi nya,2
Makin ribet dengan adanya fitur premium padahal ktp belum pernah di pake udah gak bisa dipake upgrade premium mohon tindak lanjuti disaat ada keperluan mendesak jadi terhambat,0
Sangat puas deng menggunakan dana,2
Bagus buat buku ta bung,2
ssngat mmbntu...,0
Kenapa tidak ada paylatter diaplikasi Dana saya,0
Oke,0
baik,2
Bagus aplikasinya,2
Membantu,2
Selalu gagal upgrade di premium,1
Mantap,2
Disuruh upgrade sudah foto KTP Tetep ga valid aplikasi ribet,1
"Baru download, di infoin tunggu 1 juta bari bisa penarikan. Eh udah 1 juta tunggu 2 hari. Bisa aja nih admin nya. Money no instan bro. 🤪😆😆",1
Bosok ngelak,0
"Jujur awal kenal dana tuh sangat amat membantu tapi makin ke sini untuk login di handphone lain susah sekali padahal semua sudah bener, taoi rekomen untuk yang ngeBA gunain dana biar ada qris, cuma sedikit masalah dan mohon saat mengganti nama di dana bisnis di permudah supaya tidak menunggu lama.",0
good job,0
Says sangat puas,2
Sayangnya tidak ada dana cicilnya,0
mantap,2
"jangan download bikin HBS paket,aplikasi ini ribet",0
Coba dulu,0
ok,0
"Buruk, parah banget, saldo bisa hilang tiba-tiba, padahal tdk pernah melakukan pembayaran offline,sdh minta bantuan sm Diana, saldo juga tidak kembali, pokoknya bad bgt Dana, nyesel pakai Dana",0
playanan sangat baik,2
